sum,agency,year,country
45631,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2016,USA
364874,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,USA
287482.06,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,USA
218509.94,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,USA
51020,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2020,USA
816284.52,AFRICAN DEVELOPMENT FOUNDATION (EOP),2006,USA
1107760.43,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,USA
146641.52,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1998,USA
330000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,AGO
992000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,FRA
44693709.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,USA
325000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,AGO
247000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,CHE
172000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,DNK
297000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,ETH
2856000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FIN
225000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FJI
300000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FRA
10000000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,ITA
94000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,RUS
575000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,TUR
130000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,UKR
593067442.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,USA
14000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,BEL
93000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,CAN
120000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,CRI
70000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,DNK
232000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,FRA
370000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,GTM
142000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,MLI
265000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,MYS
498000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,NLD
84000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,PRY
98000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,RUS
111000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,THA
732075815.35,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,USA
108000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,VUT
3000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,AUT
20000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,BEL
141000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,BRA
35000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,CAN
3417000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,FRA
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,GTM
114000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,HRV
50000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,HTI
53000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,IDN
24000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,MOZ
105000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,NLD
105000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,THA
2271914123.45,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,USA
54300,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,ETH
1138125,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,FRA
-5000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,ISR
9757,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,MOZ
10550,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,PER
34575,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,PHL
2396417382.24,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,USA
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,ARE
138318,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,CAN
3324000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,DNK
400000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,DZA
102104,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,HND
374490,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,ITA
150000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,KGZ
320367,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,MDG
80031,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,MOZ
844469,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PER
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PHL
30000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,RUS
2367253183.02,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,USA
641690,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,ARE
80000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,BIH
4874,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,CAN
340000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,DNK
80000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,EGY
4609040,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,GBR
221482,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,IRQ
67751,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,ISR
277000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,JOR
8570,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,KWT
1139320,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,SAU
257791,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,TUR
2538464801.01,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,USA
511296,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,ARE
69800,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,BHR
82105,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,BIH
11807,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,CAN
2920000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,DNK
24513,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,GIB
119575,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,HUN
466312,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,ITA
6600,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,JOR
34330,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,KEN
286464,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,KWT
46500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,MDG
2735,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,RUS
43414.15,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,SEN
10000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,TZA
2968192118.62,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,USA
1380769,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,ZAF
8060452.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,AFG
403015.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,ARE
2000000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,BHR
104088.23,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,BIH
384500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,CHE
99909,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,COL
42556.36,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,ECU
142349,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,EGY
33530,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,GBR
5662213,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,GUY
131933,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,HND
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,HUN
108247253,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,IDN
-869046,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,JOR
2542,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,JPN
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,KOR
-16378.58,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,MDG
16711,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,NLD
48525,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,PER
249947,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,RUS
1708686,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SAU
64491.44,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SEN
25145,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SLV
10905000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,TZA
4268580426.53,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,USA
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,ZAF
6300,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ABW
403015.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ARE
154245,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,BHR
46277.35,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,BIH
5525000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,CHN
28100,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,COL
99500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ECU
1571556.47,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ETH
24750,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,GBR
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,GTM
123069,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,HND
3820230.24,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,IDN
83343.79,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,IND
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,JOR
21686,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,JPN
46822.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,KEN
12321569.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,KOR
390325.98,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,NLD
700000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,PER
3934.48,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,PHL
1106076,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SAU
35482.75,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SEN
3268.85,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SLV
489700,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,TUR
3287173,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,TZA
29927.25,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,UGA
4458719604.78,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,USA
370761,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ZAF
6052994.04,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AFG
99500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ARM
16125.56,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AUS
11980,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AZE
73033.84,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BEL
14720.59,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BGD
4500000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BHR
121697.71,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BIH
3600,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,CAN
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,CHN
273686.03,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,COL
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ECU
119118,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,EGY
13690.03,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ETH
99316.48,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GBR
1517000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GEO
7080,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GHA
505336,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GIB
142698.11,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GTM
3022893,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,GUY
66378,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,HND
50000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,HUN
-2240429.21,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,IDN
92040.68,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,IND
819271,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,IRQ
14400,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ISR
8651,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,JAM
1483826,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,JOR
90000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,KAZ
1220241.74,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,KEN
3935,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,KGZ
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,KOR
1284372,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,KWT
7200,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,LBR
34969,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,LKA
147853,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,MAR
58003,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,MDG
51438.1,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,MKD
15765,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,NAM
18058.98,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,NGA
5708,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,NLD
455175.23,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,PAK
928620,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,PER
3443.47,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,PHL
40602.92,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,RUS
4943065,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,SAU
130450,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,SDN
210963.25,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,SEN
14762.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,THA
73100,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,TUR
18792482.08,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,TZA
152004,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,UGA
4840468064.97,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,USA
581271.94,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ZAF
4278,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ZWE
3518354.26,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,AFG
580559.43,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ARE
1074097,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ARM
1036219,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,AUS
13101.75,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,AZE
171913.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,BEL
57789.73,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,BGD
3695000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,BHR
225117.5,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,BIH
7581332.1,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,CAN
34442.2,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,CHE
630861.65,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,COL
45000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,DNK
1367922.5,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,EGY
778044.15,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ETH
86717,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GBR
9949598.02,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GEO
124375,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GHA
78466.74,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GIB
240147.67,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GTM
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,GUY
95620,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,HKG
4860.72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,HND
72885,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,HTI
109376.57,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,HUN
836540.81,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,IDN
210539.82,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,IND
690842.35,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,IRQ
1791858.25,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ISR
1628516,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,JOR
376712,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,JPN
430052.74,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,KAZ
427434.46,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,KEN
150040.89,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,KGZ
1161000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,KOR
1575717,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,KWT
124981.65,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,LBR
45810,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,LKA
183522,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MAR
69396,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MDG
215869.55,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MEX
57548.6,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MKD
11555,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MLI
96942.99,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MOZ
22314,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,MWI
3488,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,NAM
1498438.32,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,NGA
25890238.3,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,PAK
21434.2,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,PAN
630500.87,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,PER
14158.99,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,PHL
5000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,PRT
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,RUS
174481,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,SDN
1080735.76,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,SEN
1581420,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,THA
407641.01,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,TUR
15915782.2,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,TZA
247915,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,UGA
62304,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,UKR
4983665680.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,USA
16200,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,UZB
4143771.1,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ZAF
31716,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2010,ZWE
1147317.66,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,AFG
7145805.82,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,ARE
1033409.9,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,ARM
89230.05,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,AUS
12750,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,AZE
-32869.6,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BEL
87490.66,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BEN
-84.01,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BGD
-2662268.88,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BHR
94311.75,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BIH
6504.2,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BOL
50000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,BRB
65798,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,CAN
-300000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,CHN
43720.85,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,COD
538560.33,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,COL
60707,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,DNK
14987000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,DOM
276953.59,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,EGY
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,ETH
57495.07,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GBR
7214531.19,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GEO
416513.51,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GHA
53926,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GIB
31586,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GIN
137110.06,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GTM
3623535,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,GUY
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,HND
414144.17,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,HTI
94874.98,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,HUN
1406329.9,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,IDN
327880.92,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,IND
-96480.5,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,IRQ
542187.29,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,ISR
123609.69,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,JOR
273620.2,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,KAZ
272279.29,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,KEN
134883.76,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,KGZ
6000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,KHM
809608.29,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,KWT
1870632.64,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,LBR
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,LKA
305564.32,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MAR
102706.71,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MDG
-29425.05,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MEX
79240.08,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MKD
287872.76,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MLI
48671.5,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MOZ
284726.15,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,MWI
6622,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,NAM
613545.75,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,NGA
40000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,NIC
244338.95,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,NLD
15070053.45,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,PAK
5000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,PAN
2778299.13,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,PER
2634233.18,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,PHL
46218.12,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,SDN
939133.99,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,SEN
38605.64,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2011,SLE
