80031,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,MOZAMBIQUE
15333830,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,NAN
844469,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PERU
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PHILIPPINES
30000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,RUSSIA
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,UNITED ARAB EMIRATES
2317234564.73,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,UNITED STATES
80000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,BOSNIA AND HERZEGOVINA
4874,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,CANADA
340000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,DENMARK
80000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,EGYPT
221482,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,IRAQ
67751,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,ISR
277000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,JORDAN
8570,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,KUWAIT
71879,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,NAN
1139320,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,SAUDI ARABIA
257791,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,TURKEY
641690,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,UNITED ARAB EMIRATES
4609040,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,UNITED KINGDOM
2250497524.89,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,UNITED STATES
7500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,BAHRAIN
62300,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,BHR
82105,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,BOSNIA AND HERZEGOVINA
11807,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,CANADA
2920000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,DENMARK
24513,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,GIB
119575,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,HUNGARY
466312,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,ITALY
6600,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,JORDAN
34330,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,KENYA
286464,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,KUWAIT
46500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,MADAGASCAR
256183,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,NAN
2735,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,RUSSIA
43414.15,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,SENEGAL
1380769,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,SOUTH AFRICA
10000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,TANZANIA
511296,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,UNITED ARAB EMIRATES
2631467003.61,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2006,UNITED STATES
8060452.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,AFGHANISTAN
2000000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,BAHRAIN
104088.23,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,BOSNIA AND HERZEGOVINA
99909,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,COLOMBIA
42556.36,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,ECUADOR
142349,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,EGYPT
25145,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,EL SALVADOR
5662213,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,GUYANA
131933,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,HONDURAS
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,HUNGARY
108247253,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,IDN
2542,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,JAPAN
-869046,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,JORDAN
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,KOR
-16378.58,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,MADAGASCAR
303594.47,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,NAN
16711,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,NETHERLANDS
48525,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,PERU
249947,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,RUSSIA
1708686,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SAUDI ARABIA
64491.44,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SENEGAL
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SOUTH AFRICA
384500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,SWITZERLAND
10905000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,TANZANIA
403015.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,UNITED ARAB EMIRATES
33530,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,UNITED KINGDOM
3492341515.96,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2007,UNITED STATES
6300,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ABW
154245,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,BAHRAIN
46277.35,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,BOSNIA AND HERZEGOVINA
5525000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,CHN
28100,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,COLOMBIA
99500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ECUADOR
3268.85,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,EL SALVADOR
1571556.47,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,ETHIOPIA
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,GUATEMALA
123069,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,HONDURAS
3820230.24,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,IDN
83343.79,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,INDIA
21686,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,JAPAN
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,JORDAN
46822.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,KENYA
12321569.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,KOR
170895.88,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,NAN
390325.98,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,NETHERLANDS
700000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,PERU
3934.48,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,PHILIPPINES
1106076,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SAUDI ARABIA
35482.75,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SENEGAL
370761,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,SOUTH AFRICA
3287173,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,TANZANIA
489700,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,TURKEY
29927.25,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,UGANDA
403015.63,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,UNITED ARAB EMIRATES
24750,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,UNITED KINGDOM
3410376228.8,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2008,UNITED STATES
6052994.04,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AFGHANISTAN
99500,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,ARM
16125.56,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AUSTRALIA
11980,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,AZERBAIJAN
4500000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BAHRAIN
14720.59,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BANGLADESH
9986.6,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BEL
63047.24,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BELGIUM
121697.71,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,BOSNIA AND HERZEGOVINA
3600,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,CANADA
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,CHN
273686.03,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2009,COLOMBIA
