feature,value
total,70610238937.66
pct_foreign,0.030115339098163794
total_dos,2594207120.74
total_usda,832243809.5
total_doc,435071261.94
total_hud,139016720.46
total_treas,478244683.9
total_doj,851062844.93
total_dod,46649671028.369995
total_ed,340275409.1
total_hhs,3364593221.33
total_doi,1024500943.19
total_va,2755165315.33
total_doe,1619886464.74
total_dot,664603184.8000001
total_dol,146980293.81
total_dhs,2259511806.8900003
pct_foreign_dos,0.06680961675895827
pct_foreign_usda,0.004675462425293053
pct_foreign_doc,0.009686810480672952
pct_foreign_hud,0.0
pct_foreign_treas,-0.11340843979217309
pct_foreign_doj,0.006197358281377935
pct_foreign_dod,0.040174655558883686
pct_foreign_ed,0.00017377923416917287
pct_foreign_hhs,0.020532701852942422
pct_foreign_doi,0.005467670359148847
pct_foreign_va,0.002913434157775236
pct_foreign_doe,0.00020600391278259185
pct_foreign_dot,0.0014069628334408184
pct_foreign_dol,0.0012469430782123703
pct_foreign_dhs,0.0014658202935255737
pct_total_to_USA,0.9698846609018363
pct_total_to_AGO,1.667746799496987e-07
pct_total_to_DNK,0.00017239024103496954
pct_total_to_CHE,-0.00030045215763580956
pct_total_to_ETH,6.173537670434146e-06
pct_total_to_TUR,0.0005458663358161031
pct_total_to_RUS,4.173664392499595e-05
pct_total_to_UKR,4.39029813046931e-07
pct_total_to_FIN,2.418487779807239e-06
pct_total_to_FJI,3.4800132912302424e-06
pct_total_to_FRA,3.3956081526884823e-05
pct_total_to_ITA,0.0018662149733884887
pct_total_to_THA,4.109539343949659e-05
pct_total_to_BEL,0.0002506852834137514
pct_total_to_MYS,4.0663932642049115e-06
pct_total_to_MLI,1.4548915786943864e-05
pct_total_to_CAN,0.002517233410680344
pct_total_to_CRI,2.249744546824846e-06
pct_total_to_GTM,2.2104362249474697e-05
pct_total_to_VUT,0.0
pct_total_to_NLD,0.0002317456607737445
pct_total_to_PRY,0.0
pct_total_to_HRV,1.916049315729501e-05
pct_total_to_MOZ,1.4270295854537614e-06
pct_total_to_AUT,1.651366228953653e-05
pct_total_to_HTI,0.0
pct_total_to_BRA,6.97832931049885e-07
pct_total_to_IDN,9.80723887099976e-06
pct_total_to_PHL,0.0017971903226674652
pct_total_to_ISR,0.000411279765610752
pct_total_to_PER,1.5578477237149165e-06
pct_total_to_HND,2.489637517799706e-05
pct_total_to_KGZ,0.0
pct_total_to_ARE,0.0003974788877966952
pct_total_to_DZA,0.0
pct_total_to_MDG,0.0
pct_total_to_EGY,1.0573072704924922e-05
