feature,value
total,88428617068.07
pct_foreign,0.025109386392764724
total_dos,4166563743.91
total_usda,1313516104.6399999
total_doc,640885702.02
total_hud,193686448.84
total_treas,893934038.26
total_doj,1429699384.5
total_dod,50854625456.85
total_ed,496060792.72
total_hhs,7077469390.49
total_doi,1162758482.98
total_va,4023980696.3399997
total_doe,2230182111.88
total_dot,1112464328.21
total_dol,358301572.61
total_dhs,5071791599.49
pct_foreign_dos,0.01640274145088808
pct_foreign_usda,0.0007590081054036585
pct_foreign_doc,0.0059436601378277075
pct_foreign_hud,0.0
pct_foreign_treas,0.10259350514106466
pct_foreign_doj,0.004766841626908457
pct_foreign_dod,0.034048433803119636
pct_foreign_ed,0.004342550513190656
pct_foreign_hhs,0.028825928954794855
pct_foreign_doi,0.005070808879320313
pct_foreign_va,0.0012586068006256842
pct_foreign_doe,0.0005982442343577497
pct_foreign_dot,0.0005985466078462024
pct_foreign_dol,0.0017237949738844155
pct_foreign_dhs,0.003449436982339576
pct_total_to_USA,0.9748906136072353
pct_total_to_AGO,0.0
pct_total_to_DNK,0.0011688991254995317
pct_total_to_CHE,0.0008965608323261585
pct_total_to_ETH,1.0558898589144006e-06
pct_total_to_TUR,0.00039101016329797325
pct_total_to_RUS,7.189156984221906e-06
pct_total_to_UKR,2.6989606296373687e-05
pct_total_to_FIN,5.247108406578713e-06
pct_total_to_FJI,0.0
pct_total_to_FRA,6.704078098876672e-05
pct_total_to_ITA,0.0008522488264402848
pct_total_to_THA,4.72844875181226e-05
pct_total_to_BEL,8.797566882688549e-05
pct_total_to_MYS,5.360986473813987e-06
pct_total_to_MLI,8.505414140097164e-06
pct_total_to_CAN,0.0014821800085271944
pct_total_to_CRI,-7.16826770582713e-06
pct_total_to_GTM,3.680202142587943e-05
pct_total_to_VUT,0.0
pct_total_to_NLD,0.0005489318434397114
pct_total_to_PRY,3.281906803728487e-06
pct_total_to_HRV,2.3421374874671024e-05
pct_total_to_MOZ,1.5242575816406103e-06
pct_total_to_AUT,1.3351620427255525e-05
pct_total_to_HTI,7.951304490702989e-06
pct_total_to_BRA,3.0823994430465996e-06
pct_total_to_IDN,6.6880529132864786e-06
pct_total_to_PHL,5.2885315241332976e-05
pct_total_to_ISR,0.00037274973558194314
pct_total_to_PER,2.332204413433796e-05
pct_total_to_HND,0.00015301887916650337
pct_total_to_KGZ,-4.0594437853039545e-07
pct_total_to_ARE,0.0019399277188508906
pct_total_to_DZA,0.0
pct_total_to_MDG,2.7061420605027995e-07
pct_total_to_EGY,1.0983382101886328e-05
pct_total_to_GBR,0.0012375634011754257
pct_total_to_IRQ,0.00022812674028896564
pct_total_to_KWT,0.000904119144354102
pct_total_to_JOR,5.992178907333949e-05
pct_total_to_BIH,3.190411422840964e-06
pct_total_to_SAU,0.0004251305034100145
pct_total_to_HUN,0.0
pct_total_to_ZAF,6.603939577054222e-05
pct_total_to_KEN,0.00018552869098214055
pct_total_to_BHR,8.686891670019935e-05
pct_total_to_GIB,0.00011614752769563091
pct_total_to_SEN,1.4832177223696415e-05
pct_total_to_TZA,1.8786252969683103e-05
pct_total_to_JPN,0.005167316868455159
pct_total_to_AFG,0.0002444948362514505
pct_total_to_COL,0.00010946115376370728
pct_total_to_GUY,0.0
pct_total_to_ECU,5.9393884967770755e-05
pct_total_to_KOR,0.0015214292026803527
pct_total_to_SLV,2.0578096891408456e-05
pct_total_to_CHN,6.630443621533351e-06
pct_total_to_IND,1.609351222698094e-05
pct_total_to_ABW,4.0905908516193736e-05
pct_total_to_UGA,4.313747547429846e-06
pct_total_to_SDN,6.813857549487409e-07
pct_total_to_KAZ,2.547096601393406e-05
pct_total_to_GHA,1.0040201231650647e-05
pct_total_to_LBR,1.40217756548826e-05
pct_total_to_PAK,7.897915439098057e-06
pct_total_to_ARM,1.580710008078053e-06
pct_total_to_MKD,7.604880776121781e-06
pct_total_to_AZE,7.624952445891689e-06
pct_total_to_GEO,1.2827911343754296e-05
pct_total_to_LKA,6.638676702906087e-07
pct_total_to_ZWE,5.540412326281933e-06
pct_total_to_AUS,8.721485425994262e-05
pct_total_to_JAM,1.7179605995993178e-06
pct_total_to_NAM,0.0
pct_total_to_MAR,1.4827439843265853e-08
pct_total_to_BGD,1.017367544386087e-05
pct_total_to_NGA,8.198053119409959e-07
pct_total_to_UZB,0.0
pct_total_to_PAN,5.869856718447138e-05
pct_total_to_MEX,1.825590734679612e-05
pct_total_to_HKG,0.00018203269680910008
pct_total_to_MWI,3.494448067214858e-06
pct_total_to_PRT,2.0154185252361286e-05
pct_total_to_GIN,0.0
pct_total_to_COD,2.519764046841077e-06
pct_total_to_SLE,8.074761583689033e-07
pct_total_to_BOL,1.4300489388254998e-06
pct_total_to_DOM,2.0820175199424083e-06
pct_total_to_NIC,0.0
pct_total_to_BEN,1.489392963124336e-06
pct_total_to_KHM,1.0695829600862523e-05
pct_total_to_BRB,3.1681566362656505e-06
pct_total_to_COG,1.284121065837656e-06
pct_total_to_SGP,0.0001780643343984353
pct_total_to_ZMB,1.9733128345281775e-05
pct_total_to_VEN,2.232516989924569e-06
pct_total_to_NPL,1.2224324385485868e-05
pct_total_to_SRB,1.4916156711855585e-05
pct_total_to_TJK,2.4826162307956066e-06
pct_total_to_BGR,5.689956901765009e-06
pct_total_to_BLR,1.1308556360552676e-07
pct_total_to_LUX,-2.4302092029164683e-05
pct_total_to_MHL,0.0
pct_total_to_IRL,2.034363037267912e-06
pct_total_to_TTO,0.0
pct_total_to_CHL,5.074728010894519e-06
pct_total_to_CIV,4.5566572605090987e-07
pct_total_to_NOR,0.0001814649309470449
pct_total_to_RWA,5.465149134108784e-06
pct_total_to_SWE,9.372498829898175e-06
pct_total_to_LTU,1.354150884298269e-06
pct_total_to_MLT,4.6322236803125e-05
pct_total_to_LAO,2.1807533171253388e-06
pct_total_to_ESP,0.000618337195049763
pct_total_to_MUS,0.0
pct_total_to_QAT,0.00020837989771812872
pct_total_to_DEU,0.004016685799763035
pct_total_to_ALB,9.015873779709677e-06
pct_total_to_MDA,1.8417013451045535e-05
pct_total_to_CZE,4.539890063993307e-06
pct_total_to_BWA,5.734795101563473e-07
pct_total_to_BMU,0.00010218371947448136
pct_total_to_SSD,1.6713639192867874e-06
pct_total_to_POL,0.00014764133052030037
pct_total_to_SVN,4.278669197198357e-07
pct_total_to_XKS,3.260038995951832e-06
pct_total_to_BFA,0.0
pct_total_to_SVK,1.2577376384206685e-06
pct_total_to_BDI,0.0
pct_total_to_KNA,0.0
pct_total_to_VNM,7.147533580825621e-06
pct_total_to_TLS,7.887718061485492e-08
pct_total_to_ARG,2.996751716653118e-06
pct_total_to_ROU,1.6457770552712808e-05
pct_total_to_URY,3.2769543345559466e-06
pct_total_to_MNG,4.042417057419688e-06
pct_total_to_LBN,1.1447563397047862e-06
pct_total_to_GRC,9.584714146864566e-05
pct_total_to_IRN,0.0
pct_total_to_CMR,1.6992418855123854e-06
pct_total_to_TWN,3.4151840208869084e-07
pct_total_to_NER,9.062437099780943e-06
pct_total_to_STP,0.0
pct_total_to_MNE,0.0
pct_total_to_VGB,1.0254033479931139e-06
pct_total_to_UMI,2.360312045130521e-06
pct_total_to_NZL,6.0219624331576384e-06
pct_total_to_ISL,1.3514403364242082e-06
pct_total_to_OMN,7.382042054299055e-06
pct_total_to_PLW,0.0
pct_total_to_GMB,1.0844882932657296e-06
pct_total_to_SWZ,0.0
pct_total_to_WSM,0.0
pct_total_to_SOM,0.0
pct_total_to_TUN,0.0
pct_total_to_SLB,0.0
pct_total_to_TCA,0.0
pct_total_to_ATA,0.0
pct_total_to_GAB,5.794570999629718e-07
pct_total_to_NCL,0.0
pct_total_to_CYP,2.939360114609931e-06
pct_total_to_COK,0.0
pct_total_to_PYF,0.0
pct_total_to_CYM,0.0
pct_total_to_TON,0.0
pct_total_to_MCO,0.0
pct_total_to_TKM,0.0
pct_total_to_BLZ,2.286143408127509e-07
pct_total_to_MSR,0.0
pct_total_to_GRL,-3.2389322540182425e-07
pct_total_to_PNG,1.2647398965191228e-07
pct_total_to_KIR,0.0
pct_total_to_BHS,2.848297399088763e-05
pct_total_to_AIA,0.0
pct_total_to_DMA,0.0
pct_total_to_MRT,1.5454594285331927e-06
pct_total_to_DJI,3.7320338815879075e-05
pct_total_to_LVA,0.0
pct_total_to_TGO,7.85352098705118e-08
pct_total_to_TUV,0.0
pct_total_to_ATG,0.0
pct_total_to_VCT,0.0
pct_total_to_GNB,0.0
pct_total_to_LCA,0.0
pct_total_to_SYC,0.0
pct_total_to_BRN,1.6839198094139093e-07
pct_total_to_EST,3.956682933655612e-06
pct_total_to_BTN,3.9693032825539893e-07
pct_total_to_GRD,0.0
pct_total_to_LIE,0.0
pct_total_to_YEM,0.0
pct_total_to_MDV,0.0
pct_total_to_TCD,2.1712428212261138e-07
pct_total_to_IMN,0.0
pct_total_to_CUW,0.0
pct_total_to_SYR,0.0
pct_total_to_MMR,3.1550872245941967e-08
pct_total_to_SPM,0.0
pct_total_to_AND,0.0
pct_total_to_LSO,0.0
pct_total_to_MAC,0.0
pct_total_to_CUB,0.0
pct_total_to_CAF,0.0
pct_total_to_ERI,0.0
pct_total_to_SUR,0.0
pct_total_to_LBY,0.0
pct_total_to_CPV,0.0
pct_total_to_XWB,0.0
pct_total_to_GNQ,0.0
pct_total_to_TKL,0.0
pct_total_to_XAC,0.0
pct_total_to_COM,0.0
pct_total_to_FLK,0.0
pct_dos_total_to_USA,0.983597258549112
pct_dos_total_to_AGO,0.0
pct_dos_total_to_DNK,0.00019267345211587878
pct_dos_total_to_CHE,1.2812116478003197e-05
pct_dos_total_to_ETH,3.85434160787122e-06
pct_dos_total_to_TUR,8.11570878986903e-05
pct_dos_total_to_RUS,0.00010527865093655342
pct_dos_total_to_UKR,0.00016604964486892644
pct_dos_total_to_FIN,0.0
pct_dos_total_to_FJI,0.0
pct_dos_total_to_FRA,0.0004290649777320714
pct_dos_total_to_ITA,0.0005236628128368627
pct_dos_total_to_THA,0.0002820891800150479
pct_dos_total_to_BEL,0.0008520339392836332
pct_dos_total_to_MYS,9.834121717179967e-05
pct_dos_total_to_MLI,5.5254738472800607e-05
pct_dos_total_to_CAN,0.0004800743857390045
pct_dos_total_to_CRI,-0.00015957514173923598
