feature,value
total,34437410928.75
pct_foreign,0.013139591968345004
total_dos,277768014.5
total_usda,181923145.56
total_doc,159222782.88
total_hud,37400630.76
total_treas,253874603.81
total_doj,227162477.2
total_dod,26869395432.859997
total_ed,128761199.6
total_hhs,581833310.37
total_doi,414684695.49
total_va,585068651.67
total_doe,1320126642.67
total_dot,236150899.9
total_dol,77359332.17
total_dhs,775835642.53
pct_foreign_dos,0.05101136124512277
pct_foreign_usda,0.00040599919143130715
pct_foreign_doc,0.003019389256387553
pct_foreign_hud,0.0
pct_foreign_treas,0.00320851923656617
pct_foreign_doj,0.009906851861007968
pct_foreign_dod,0.015491705741951403
pct_foreign_ed,0.0
pct_foreign_hhs,0.0019756008456597775
pct_foreign_doi,0.0022643036509714717
pct_foreign_va,0.0003473968215864024
pct_foreign_doe,2.288447109808985e-05
pct_foreign_dot,0.0005968155533588123
pct_foreign_dol,0.0
pct_foreign_dhs,0.0012813809594492285
pct_total_to_USA,0.986860408031655
pct_total_to_AGO,0.0
pct_total_to_DNK,0.00018150597943998465
pct_total_to_CHE,1.1197328416988421e-05
pct_total_to_ETH,3.967606922677549e-06
pct_total_to_TUR,0.00017519769452131102
pct_total_to_RUS,3.762002761126343e-05
pct_total_to_UKR,2.0149598395641848e-07
pct_total_to_FIN,0.0
pct_total_to_FJI,0.0
pct_total_to_FRA,1.0843527138918815e-05
pct_total_to_ITA,8.551165492936462e-05
pct_total_to_THA,2.804769214498727e-06
pct_total_to_BEL,3.056947405767742e-05
pct_total_to_MYS,4.1863135500596965e-07
pct_total_to_MLI,0.0
pct_total_to_CAN,0.001744736828047628
pct_total_to_CRI,0.0
pct_total_to_GTM,2.37497528978636e-06
pct_total_to_VUT,0.0
pct_total_to_NLD,2.51959783444584e-05
pct_total_to_PRY,0.0
pct_total_to_HRV,0.0
pct_total_to_MOZ,5.7252503798245485e-05
pct_total_to_AUT,0.0
pct_total_to_HTI,0.0
pct_total_to_BRA,9.881840441027379e-06
pct_total_to_IDN,4.3934777882412617e-07
pct_total_to_PHL,4.850965722877116e-07
pct_total_to_ISR,2.770629017303517e-06
pct_total_to_PER,1.5883888632967415e-06
pct_total_to_HND,3.2706291490098466e-06
pct_total_to_KGZ,0.0
pct_total_to_ARE,0.0005551941805252893
pct_total_to_DZA,9.083145090296541e-08
pct_total_to_MDG,0.0
pct_total_to_EGY,0.0
pct_total_to_GBR,0.006908360065227338
pct_total_to_IRQ,0.0
pct_total_to_KWT,0.00035075698475101497
pct_total_to_JOR,3.2836092188799313e-06
pct_total_to_BIH,1.1487216644086984e-06
pct_total_to_SAU,0.0002810068553069143
pct_total_to_HUN,1.3447584690908977e-07
pct_total_to_ZAF,6.426092845883773e-07
pct_total_to_KEN,6.392592650343901e-06
pct_total_to_BHR,4.186145128571449e-07
pct_total_to_GIB,0.0
pct_total_to_SEN,0.0
pct_total_to_TZA,5.593626082940609e-07
pct_total_to_JPN,0.00021021990488710572
pct_total_to_AFG,1.4551500431806397e-06
pct_total_to_COL,4.61728732537361e-05
pct_total_to_GUY,0.0
pct_total_to_ECU,6.243210340197431e-08
pct_total_to_KOR,0.0008696242435867414
pct_total_to_SLV,2.425344058901692e-06
pct_total_to_CHN,-4.2507550960455855e-08
pct_total_to_IND,2.941713597738143e-06
pct_total_to_ABW,0.0
pct_total_to_UGA,5.119432478961893e-08
pct_total_to_SDN,0.0
pct_total_to_KAZ,0.0
pct_total_to_GHA,0.0
pct_total_to_LBR,0.0
pct_total_to_PAK,4.787671185302564e-06
pct_total_to_ARM,0.0
pct_total_to_MKD,1.2806711889940804e-06
pct_total_to_AZE,-9.346094590731842e-07
pct_total_to_GEO,3.963422229458359e-06
pct_total_to_LKA,0.0
pct_total_to_ZWE,2.1778640721618945e-07
pct_total_to_AUS,5.76711101804101e-05
pct_total_to_JAM,1.592163827688489e-05
pct_total_to_NAM,0.0
pct_total_to_MAR,1.0453747546377094e-06
pct_total_to_BGD,-1.7095361820842005e-07
pct_total_to_NGA,7.674560684797484e-06
pct_total_to_UZB,0.0
pct_total_to_PAN,1.6938642722209238e-06
pct_total_to_MEX,5.60955585191003e-06
pct_total_to_HKG,4.9018566566823876e-05
pct_total_to_MWI,0.0
pct_total_to_PRT,4.3001676376423e-06
pct_total_to_GIN,0.0
pct_total_to_COD,0.0
pct_total_to_SLE,5.770468645600155e-07
pct_total_to_BOL,2.5088994111305023e-06
pct_total_to_DOM,6.035151725836898e-06
pct_total_to_NIC,0.0
pct_total_to_BEN,1.3403156263836875e-06
pct_total_to_KHM,0.0
pct_total_to_BRB,0.0
pct_total_to_COG,0.0
pct_total_to_SGP,3.352466021294783e-06
pct_total_to_ZMB,3.328034742133271e-06
pct_total_to_VEN,1.5008387275958335e-06
pct_total_to_NPL,0.0
pct_total_to_SRB,1.016336567008884e-08
pct_total_to_TJK,3.3068978453582494e-06
pct_total_to_BGR,0.0
pct_total_to_BLR,1.0442132271325563e-07
pct_total_to_LUX,0.0
pct_total_to_MHL,0.0
pct_total_to_IRL,9.663908842873046e-08
pct_total_to_TTO,0.0
pct_total_to_CHL,0.0
pct_total_to_CIV,0.0
pct_total_to_NOR,4.480301969251449e-07
pct_total_to_RWA,0.0
pct_total_to_SWE,8.579913298688999e-07
pct_total_to_LTU,0.0
pct_total_to_MLT,7.862902369758046e-06
pct_total_to_LAO,7.75900373442211e-07
pct_total_to_ESP,8.976081292509062e-06
pct_total_to_MUS,0.0
pct_total_to_QAT,0.0
pct_total_to_DEU,0.0011091161405549484
pct_total_to_ALB,0.0
pct_total_to_MDA,1.170238961441658e-08
pct_total_to_CZE,0.0
pct_total_to_BWA,0.0
pct_total_to_BMU,0.0
pct_total_to_SSD,0.0
pct_total_to_POL,1.663597769255399e-07
pct_total_to_SVN,0.0
pct_total_to_XKS,0.0
pct_total_to_BFA,0.0
pct_total_to_SVK,0.0
pct_total_to_BDI,0.0
pct_total_to_KNA,0.0
pct_total_to_VNM,0.0
pct_total_to_TLS,0.0
pct_total_to_ARG,0.00016674859825788988
pct_total_to_ROU,0.0
pct_total_to_URY,0.0
pct_total_to_MNG,0.0
pct_total_to_LBN,1.3357566309259618e-06
pct_total_to_GRC,8.982789113851321e-06
pct_total_to_IRN,0.0
pct_total_to_CMR,0.0
pct_total_to_TWN,0.0
pct_total_to_NER,5.807637525765052e-06
pct_total_to_STP,0.0
pct_total_to_MNE,0.0
pct_total_to_VGB,0.0
pct_total_to_UMI,0.0
pct_total_to_NZL,2.4085434346852824e-06
pct_total_to_ISL,0.0
pct_total_to_OMN,1.3559962477032532e-06
pct_total_to_PLW,0.0
pct_total_to_GMB,1.6691762954807726e-05
pct_total_to_SWZ,0.0
pct_total_to_WSM,4.3383052317464936e-07
pct_total_to_SOM,0.0
pct_total_to_TUN,0.0
pct_total_to_SLB,0.0
pct_total_to_TCA,0.0
pct_total_to_ATA,0.0
pct_total_to_GAB,0.0
pct_total_to_NCL,1.4034156081011247e-07
pct_total_to_CYP,0.0
pct_total_to_COK,0.0
pct_total_to_PYF,0.0
pct_total_to_CYM,0.0
pct_total_to_TON,0.0
pct_total_to_MCO,0.0
pct_total_to_TKM,0.0
pct_total_to_BLZ,0.0
pct_total_to_MSR,0.0
pct_total_to_GRL,0.0
pct_total_to_PNG,0.0
pct_total_to_KIR,0.0
pct_total_to_BHS,9.018999733824465e-07
pct_total_to_AIA,0.0
pct_total_to_DMA,0.0
pct_total_to_MRT,0.0
pct_total_to_DJI,0.0
pct_total_to_LVA,2.097013046346956e-07
pct_total_to_TGO,0.0
pct_total_to_TUV,0.0
pct_total_to_ATG,0.0
pct_total_to_VCT,0.0
pct_total_to_GNB,0.0
pct_total_to_LCA,0.0
