feature,value
pct_total_to_TZA,2.064143767429449e-05
pct_total_to_JPN,0.0012313193718408164
pct_total_to_AFG,0.00018584180235491253
pct_total_to_COL,0.0005303455941929063
pct_total_to_GUY,-3.038163956791346e-06
pct_total_to_ECU,1.0293489825196533e-06
pct_total_to_KOR,0.0012327287203708448
pct_total_to_SLV,7.641081897463821e-07
pct_total_to_CHN,0.0
pct_total_to_IND,4.6902564880428357e-07
pct_total_to_ABW,0.0
pct_total_to_UGA,4.985273154934544e-06
pct_total_to_SDN,0.0
pct_total_to_KAZ,0.0001134588918229241
pct_total_to_GHA,3.6171815962215084e-06
pct_total_to_LBR,1.32932494783911e-07
pct_total_to_PAK,0.0001603606327421612
pct_total_to_ARM,3.46386938404331e-06
pct_total_to_MKD,2.133380125752588e-06
pct_total_to_AZE,0.0
pct_total_to_GEO,0.0
pct_total_to_LKA,0.0
pct_total_to_ZWE,0.0
pct_total_to_AUS,7.454789815179713e-06
pct_total_to_JAM,0.0
pct_total_to_NAM,0.0
pct_total_to_MAR,0.0
pct_total_to_BGD,4.548897738203528e-07
pct_total_to_NGA,0.0
pct_total_to_UZB,0.0
pct_total_to_PAN,1.1440217796529315e-05
pct_total_to_MEX,0.0
pct_total_to_HKG,0.0
pct_total_to_MWI,-1.6815288594516555e-08
pct_total_to_PRT,6.677507886478065e-07
pct_total_to_GIN,0.0
pct_total_to_COD,0.0
pct_total_to_SLE,0.0
pct_total_to_BOL,0.0
pct_total_to_DOM,0.0
pct_total_to_NIC,0.0
pct_total_to_BEN,0.0
pct_total_to_KHM,9.96203088384304e-06
pct_total_to_BRB,0.0
pct_total_to_COG,0.0
pct_total_to_SGP,0.0007749989159382135
pct_total_to_ZMB,2.3430810606261622e-07
pct_total_to_VEN,0.0
pct_total_to_NPL,1.4902664997313999e-05
pct_total_to_SRB,6.502063064491539e-06
pct_total_to_TJK,1.5000237319415095e-05
pct_total_to_BGR,0.0
pct_total_to_BLR,0.0
pct_total_to_LUX,1.0666821901239304e-05
pct_total_to_MHL,0.0
pct_total_to_IRL,1.119323295247698e-07
pct_total_to_TTO,0.0
pct_total_to_CHL,3.826037147448408e-06
pct_total_to_CIV,0.0
pct_total_to_NOR,7.079332899340821e-06
pct_total_to_RWA,0.0
pct_total_to_SWE,2.4487422341099254e-06
pct_total_to_LTU,0.0
pct_total_to_MLT,1.1592020796723778e-05
pct_total_to_LAO,2.475788325069491e-05
pct_total_to_ESP,0.0004781577202093489
pct_total_to_MUS,0.0
pct_total_to_QAT,4.4547691829220965e-05
pct_total_to_DEU,0.0008877546499381858
pct_total_to_ALB,0.0
pct_total_to_MDA,0.0
pct_total_to_CZE,-2.1797455493416438e-07
pct_total_to_BWA,0.0
pct_total_to_BMU,3.377785656998675e-07
pct_total_to_SSD,0.0
pct_total_to_POL,1.6065837380981985e-06
pct_total_to_SVN,4.670071179431407e-06
pct_total_to_XKS,0.0
pct_total_to_BFA,0.0
pct_total_to_SVK,0.0
pct_total_to_BDI,0.0
pct_total_to_KNA,0.0
pct_total_to_VNM,1.657102226005593e-05
pct_total_to_TLS,0.0
pct_total_to_ARG,-1.1332478912651335e-07
pct_total_to_ROU,2.368242805629668e-06
pct_total_to_URY,0.0
pct_total_to_MNG,0.0
pct_total_to_LBN,5.969847598960134e-06
pct_total_to_GRC,0.00018776733994379849
pct_total_to_IRN,0.0
pct_total_to_CMR,0.0
pct_total_to_TWN,0.0
pct_total_to_NER,2.945991432357395e-06
pct_total_to_STP,0.0
pct_total_to_MNE,0.0
pct_total_to_VGB,0.0
pct_total_to_UMI,0.0
pct_total_to_NZL,0.00016214503865923522
pct_total_to_ISL,0.0
pct_total_to_OMN,0.00019414858035976952
pct_total_to_PLW,0.0
pct_total_to_GMB,0.0
pct_total_to_SWZ,0.0
pct_total_to_WSM,2.5759217284930946e-07
pct_total_to_SOM,0.0
pct_total_to_TUN,2.1802586171487477e-06
pct_total_to_SLB,0.0
pct_total_to_TCA,0.0
pct_total_to_ATA,0.0
pct_total_to_GAB,0.0
pct_total_to_NCL,0.0
pct_total_to_CYP,0.0
pct_total_to_COK,0.0
pct_total_to_PYF,0.0
pct_total_to_CYM,0.0
pct_total_to_TON,0.0
pct_total_to_MCO,0.0
pct_total_to_TKM,0.0
pct_total_to_BLZ,0.0
pct_total_to_MSR,0.0
pct_total_to_GRL,1.708440819062276e-05
pct_total_to_PNG,5.995663264415074e-07
pct_total_to_KIR,0.0
pct_total_to_BHS,7.492664448566445e-06
pct_total_to_AIA,0.0
pct_total_to_DMA,0.0
pct_total_to_MRT,0.0
pct_total_to_DJI,2.987891612896629e-06
pct_total_to_LVA,0.0
pct_total_to_TGO,0.0
pct_total_to_TUV,0.0
pct_total_to_ATG,0.0
pct_total_to_VCT,0.0
pct_total_to_GNB,0.0
pct_total_to_LCA,0.0
pct_total_to_SYC,0.0
pct_total_to_BRN,0.0
pct_total_to_EST,0.0
pct_total_to_BTN,0.0
pct_total_to_GRD,0.0
pct_total_to_LIE,0.0
pct_total_to_YEM,0.0
pct_total_to_MDV,0.0
pct_total_to_TCD,0.0
pct_total_to_IMN,0.0
pct_total_to_CUW,0.0
pct_total_to_SYR,0.0
pct_total_to_MMR,0.0
pct_total_to_SPM,0.0
pct_total_to_AND,0.0
pct_total_to_LSO,0.0
pct_total_to_MAC,0.0
pct_total_to_CUB,0.0
pct_total_to_CAF,0.0
pct_total_to_ERI,0.0
pct_total_to_SUR,0.0
pct_total_to_LBY,0.0
pct_total_to_CPV,0.0
pct_total_to_XWB,0.0
pct_total_to_GNQ,0.0
pct_total_to_TKL,0.0
pct_total_to_XAC,0.0
pct_total_to_COM,0.0
pct_total_to_FLK,0.0
pct_dos_total_to_USA,0.9629865236883762
pct_dos_total_to_AGO,0.0
pct_dos_total_to_DNK,8.959317724250703e-06
pct_dos_total_to_CHE,0.0
pct_dos_total_to_ETH,0.0
pct_dos_total_to_TUR,0.0008578130536447384
pct_dos_total_to_RUS,0.0
pct_dos_total_to_UKR,0.0
pct_dos_total_to_FIN,0.0
pct_dos_total_to_FJI,0.0
pct_dos_total_to_FRA,3.921921818918391e-05
pct_dos_total_to_ITA,0.0008550462728772649
pct_dos_total_to_THA,0.0
pct_dos_total_to_BEL,0.00022750368494978674
pct_dos_total_to_MYS,0.0
pct_dos_total_to_MLI,0.0
pct_dos_total_to_CAN,0.001183959166257478
pct_dos_total_to_CRI,0.0
pct_dos_total_to_GTM,0.0
pct_dos_total_to_VUT,0.0
pct_dos_total_to_NLD,2.190823205690652e-05
pct_dos_total_to_PRY,0.0
pct_dos_total_to_HRV,0.0
pct_dos_total_to_MOZ,0.0
pct_dos_total_to_AUT,0.0
pct_dos_total_to_HTI,0.0
pct_dos_total_to_BRA,0.0
pct_dos_total_to_IDN,0.007248513557723539
pct_dos_total_to_PHL,0.0
pct_dos_total_to_ISR,0.0
pct_dos_total_to_PER,0.0
pct_dos_total_to_HND,3.099666157057447e-05
pct_dos_total_to_KGZ,0.0
pct_dos_total_to_ARE,0.0
pct_dos_total_to_DZA,0.0
pct_dos_total_to_MDG,0.0
pct_dos_total_to_EGY,0.0
pct_dos_total_to_GBR,0.0004675715624629536
pct_dos_total_to_IRQ,0.0010775815559564035
pct_dos_total_to_KWT,0.0
pct_dos_total_to_JOR,0.0
pct_dos_total_to_BIH,5.9581145526179375e-05
pct_dos_total_to_SAU,0.0
pct_dos_total_to_HUN,0.0
pct_dos_total_to_ZAF,0.0
pct_dos_total_to_KEN,0.0
pct_dos_total_to_BHR,0.0
pct_dos_total_to_GIB,0.0
pct_dos_total_to_SEN,1.7975039403546615e-05
pct_dos_total_to_TZA,0.0
pct_dos_total_to_JPN,0.006801316492764086
pct_dos_total_to_AFG,0.011438587196569656
pct_dos_total_to_COL,0.0
pct_dos_total_to_GUY,0.0
pct_dos_total_to_ECU,0.0
pct_dos_total_to_KOR,0.002182707632390129
pct_dos_total_to_SLV,7.102729023043961e-05
pct_dos_total_to_CHN,0.0
pct_dos_total_to_IND,0.0
pct_dos_total_to_ABW,0.0
pct_dos_total_to_UGA,0.0
pct_dos_total_to_SDN,0.0
pct_dos_total_to_KAZ,0.0
pct_dos_total_to_GHA,0.0
pct_dos_total_to_LBR,0.0
pct_dos_total_to_PAK,9.575504797129842e-05
pct_dos_total_to_ARM,0.0
pct_dos_total_to_MKD,0.0
pct_dos_total_to_AZE,0.0
pct_dos_total_to_GEO,0.0
pct_dos_total_to_LKA,0.0
pct_dos_total_to_ZWE,0.0
pct_dos_total_to_AUS,0.0
pct_dos_total_to_JAM,0.0
pct_dos_total_to_NAM,0.0
pct_dos_total_to_MAR,0.0
pct_dos_total_to_BGD,0.0
pct_dos_total_to_NGA,0.0
pct_dos_total_to_UZB,0.0
pct_dos_total_to_PAN,0.0004117384174341163
pct_dos_total_to_MEX,0.0
pct_dos_total_to_HKG,0.0
pct_dos_total_to_MWI,0.0
pct_dos_total_to_PRT,0.0
pct_dos_total_to_GIN,0.0
pct_dos_total_to_COD,0.0
pct_dos_total_to_SLE,0.0
pct_dos_total_to_BOL,0.0
pct_dos_total_to_DOM,0.0
pct_dos_total_to_NIC,0.0
pct_dos_total_to_BEN,0.0
pct_dos_total_to_KHM,0.0
pct_dos_total_to_BRB,0.0
pct_dos_total_to_COG,0.0
pct_dos_total_to_SGP,0.00013475318057852668
pct_dos_total_to_ZMB,0.0
pct_dos_total_to_VEN,0.0
pct_dos_total_to_NPL,0.0
pct_dos_total_to_SRB,1.0354830228952626e-05
pct_dos_total_to_TJK,3.31354567326484e-05
pct_dos_total_to_BGR,0.0
