feature,value
total,49708929999.07
pct_foreign,0.024014449629318785
total_dos,674041567.97
total_usda,558707512.51
total_doc,411077682.67
total_hud,968830.29
total_treas,526276500.99
total_doj,894998431.5899999
total_dod,29788699815.649998
total_ed,51175582.81
total_hhs,3273071976.17
total_doi,281250107.96000004
total_va,2993488249.3
total_doe,3564867387.03
total_dot,772708085.82
total_dol,148755813.41
total_dhs,1305104116.8500001
pct_foreign_dos,0.04266606297978343
pct_foreign_usda,0.003143829160465355
pct_foreign_doc,0.004699231341027935
pct_foreign_hud,0.0
pct_foreign_treas,0.008508773394928927
pct_foreign_doj,0.019745449585430824
pct_foreign_dod,0.03706650782153
pct_foreign_ed,0.0
pct_foreign_hhs,0.00018417061231429835
pct_foreign_doi,0.010877647522308171
pct_foreign_va,9.40290178409153e-05
pct_foreign_doe,2.9773898570860577e-06
pct_foreign_dot,0.005166817059722119
pct_foreign_dol,0.0
pct_foreign_dhs,0.006544975622800632
pct_total_to_USA,0.9759855503706811
pct_total_to_AGO,1.8900869522188022e-05
pct_total_to_DNK,-5.847956292872098e-05
pct_total_to_CHE,0.00018644281721963017
pct_total_to_ETH,1.3173383535156586e-06
pct_total_to_TUR,4.997638613517688e-05
pct_total_to_RUS,6.294532793320112e-06
pct_total_to_UKR,7.82601757887925e-06
pct_total_to_FIN,1.4049307237413195e-05
pct_total_to_FJI,0.0
pct_total_to_FRA,0.00011072690400101101
pct_total_to_ITA,0.00037855586773547645
pct_total_to_THA,5.368825500870628e-05
pct_total_to_BEL,0.00023843683197811232
pct_total_to_MYS,2.23884028487602e-05
pct_total_to_MLI,1.1814156128707403e-05
pct_total_to_CAN,0.001529501798598812
pct_total_to_CRI,4.845747635374701e-06
pct_total_to_GTM,2.5069040714079223e-05
pct_total_to_VUT,0.0
pct_total_to_NLD,2.1216006058061013e-05
pct_total_to_PRY,6.44256655707519e-06
pct_total_to_HRV,7.731424313643248e-06
pct_total_to_MOZ,3.241790157281898e-06
pct_total_to_AUT,5.412695465483441e-06
pct_total_to_HTI,5.665820004680632e-06
pct_total_to_BRA,0.0
pct_total_to_IDN,5.186508198925695e-05
pct_total_to_PHL,4.337594170786496e-05
pct_total_to_ISR,1.3726096096068962e-05
pct_total_to_PER,2.4186544148556274e-05
pct_total_to_HND,3.290523996454162e-05
pct_total_to_KGZ,0.0
pct_total_to_ARE,0.0015174356376492356
pct_total_to_DZA,0.0
pct_total_to_MDG,0.0
pct_total_to_EGY,1.0360311517661618e-08
pct_total_to_GBR,0.003710577116696152
pct_total_to_IRQ,2.990097674658875e-05
pct_total_to_KWT,0.0005138014733062617
pct_total_to_JOR,-0.00010170298636672694
pct_total_to_BIH,3.203756146088429e-06
pct_total_to_SAU,0.004667617416515319
pct_total_to_HUN,6.677613056772901e-07
pct_total_to_ZAF,5.740706951554557e-06
pct_total_to_KEN,4.999784887839062e-05
pct_total_to_BHR,0.0005721692651709082
pct_total_to_GIB,3.1444384339579294e-06
pct_total_to_SEN,1.8956477236939714e-05
pct_total_to_TZA,1.177138594636713e-07
pct_total_to_JPN,0.002518791494050314
pct_total_to_AFG,0.001226499454748687
pct_total_to_COL,3.639089716945916e-05
pct_total_to_GUY,2.2128820717335493e-07
pct_total_to_ECU,0.0
pct_total_to_KOR,0.0015496543309510221
pct_total_to_SLV,1.0754406301040911e-05
pct_total_to_CHN,1.5054592806845785e-06
pct_total_to_IND,3.2272873305259514e-08
pct_total_to_ABW,1.4742952624683552e-06
pct_total_to_UGA,1.0010656837902363e-05
pct_total_to_SDN,1.703919195234833e-07
pct_total_to_KAZ,0.00012366657258796378
pct_total_to_GHA,-1.8919431579347917e-06
pct_total_to_LBR,0.0
pct_total_to_PAK,4.90871201622254e-05
pct_total_to_ARM,0.0
pct_total_to_MKD,8.324323215320499e-07
pct_total_to_AZE,1.1064410358667746e-08
pct_total_to_GEO,1.3507892847674702e-06
pct_total_to_LKA,8.771311311833856e-07
pct_total_to_ZWE,1.2802847898997355e-05
pct_total_to_AUS,0.0001840831051919886
pct_total_to_JAM,0.0
pct_total_to_NAM,0.0
pct_total_to_MAR,0.0
pct_total_to_BGD,4.896317422333443e-06
pct_total_to_NGA,1.0058554871516133e-07
pct_total_to_UZB,2.7790519732085267e-07
pct_total_to_PAN,1.2913905208018153e-05
pct_total_to_MEX,1.6468540763506994e-05
pct_total_to_HKG,0.00042111822122084774
pct_total_to_MWI,6.4403076068221436e-06
pct_total_to_PRT,1.1866313356795965e-05
pct_total_to_GIN,0.0
pct_total_to_COD,6.756536300545668e-06
pct_total_to_SLE,1.6073570684682781e-06
pct_total_to_BOL,2.9794445384917937e-07
pct_total_to_DOM,3.5863433391814163e-06
pct_total_to_NIC,0.0
pct_total_to_BEN,8.87848521398986e-09
pct_total_to_KHM,5.7102013663402436e-08
pct_total_to_BRB,1.1571891006520596e-05
pct_total_to_COG,4.6639507228246005e-06
pct_total_to_SGP,3.187883364276092e-05
pct_total_to_ZMB,9.394845151741089e-07
pct_total_to_VEN,0.0
pct_total_to_NPL,7.577560007971347e-07
pct_total_to_SRB,4.168059139552516e-06
pct_total_to_TJK,2.8293910169185163e-08
pct_total_to_BGR,1.3009263526937687e-05
pct_total_to_BLR,0.0
pct_total_to_LUX,0.0
pct_total_to_MHL,0.0
pct_total_to_IRL,2.15159151488477e-05
pct_total_to_TTO,1.5025639457819225e-05
pct_total_to_CHL,0.0
pct_total_to_CIV,5.215098977283358e-06
pct_total_to_NOR,0.00011863444013199096
pct_total_to_RWA,0.0
pct_total_to_SWE,3.115468991243573e-06
pct_total_to_LTU,0.0
pct_total_to_MLT,0.00016168173404960365
pct_total_to_LAO,3.0001609369340714e-06
pct_total_to_ESP,0.00014884831558712748
pct_total_to_MUS,1.7954520445656297e-07
pct_total_to_QAT,5.246196951028296e-05
pct_total_to_DEU,0.002891749234246027
pct_total_to_ALB,0.0
pct_total_to_MDA,8.615780705961941e-06
pct_total_to_CZE,3.724332831212895e-07
pct_total_to_BWA,3.9963986350886375e-07
pct_total_to_BMU,3.941394433629239e-07
pct_total_to_SSD,9.05269938436452e-08
pct_total_to_POL,2.4543529905448082e-05
pct_total_to_SVN,5.358510030390584e-07
pct_total_to_XKS,2.3305659567037035e-06
pct_total_to_BFA,0.0
pct_total_to_SVK,1.3176706881686134e-05
pct_total_to_BDI,0.0
pct_total_to_KNA,0.0
pct_total_to_VNM,2.5838455585827933e-05
pct_total_to_TLS,2.2251233330121846e-07
pct_total_to_ARG,9.802113222093414e-06
pct_total_to_ROU,2.7042561166075183e-05
pct_total_to_URY,2.398013797565752e-07
pct_total_to_MNG,8.785605725332866e-06
pct_total_to_LBN,6.604325621294646e-06
pct_total_to_GRC,0.00029586531756517704
pct_total_to_IRN,0.0
pct_total_to_CMR,4.41687217978958e-06
pct_total_to_TWN,9.373164942571023e-06
pct_total_to_NER,1.3739382441198747e-07
pct_total_to_STP,0.0
pct_total_to_MNE,0.0
pct_total_to_VGB,0.0
pct_total_to_UMI,0.0
pct_total_to_NZL,1.0624733624519398e-05
pct_total_to_ISL,0.0
pct_total_to_OMN,7.187206202319866e-06
pct_total_to_PLW,0.0
pct_total_to_GMB,0.0
pct_total_to_SWZ,0.0
pct_total_to_WSM,0.0
pct_total_to_SOM,0.0
pct_total_to_TUN,0.0
pct_total_to_SLB,0.0
pct_total_to_TCA,0.0
pct_total_to_ATA,0.0
pct_total_to_GAB,4.241128505561159e-06
pct_total_to_NCL,0.0
pct_total_to_CYP,1.826149587241132e-05
pct_total_to_COK,0.0
pct_total_to_PYF,0.0
pct_total_to_CYM,0.0
pct_total_to_TON,0.0
pct_total_to_MCO,0.0
pct_total_to_TKM,0.0
pct_total_to_BLZ,0.0
pct_total_to_MSR,0.0
pct_total_to_GRL,1.325045399312202e-05
pct_total_to_PNG,0.0
pct_total_to_KIR,0.0
pct_total_to_BHS,0.0
pct_total_to_AIA,0.0
pct_total_to_DMA,0.0
pct_total_to_MRT,0.0
pct_total_to_DJI,2.0951482963312326e-06
pct_total_to_LVA,6.824570555156726e-06
pct_total_to_TGO,2.02635421848518e-07
pct_total_to_TUV,0.0
pct_total_to_ATG,0.0
pct_total_to_VCT,0.0
pct_total_to_GNB,1.1814384256731887e-06
pct_total_to_LCA,0.0
pct_total_to_SYC,0.0
pct_total_to_BRN,0.0
pct_total_to_EST,0.0
pct_total_to_BTN,0.0
pct_total_to_GRD,0.0
pct_total_to_LIE,0.0
pct_total_to_YEM,0.0
pct_total_to_MDV,0.0
pct_total_to_TCD,0.0
pct_total_to_IMN,1.5383493469167546e-07
pct_total_to_CUW,1.3616567486217534e-07
