feature,value
total,34984540672.33
pct_foreign,0.02392715411216087
total_dos,324594416.86999995
total_usda,252957589.05
total_doc,240069731.38
total_hud,44453901.15
total_treas,398951068.21000004
total_doj,471652388.97
total_dod,23299751648.14
total_ed,70276872.39
total_hhs,1200965640.95
total_doi,289527576.34
total_va,854618824.13
total_doe,1831650632.96
total_dot,688379619.34
total_dol,210050869.95
total_dhs,1102395315.62
pct_foreign_dos,0.03781667031850448
pct_foreign_usda,0.0193151899824371
pct_foreign_doc,0.022347079405475364
pct_foreign_hud,0.0
pct_foreign_treas,0.0034815967437612293
pct_foreign_doj,0.02610279815795247
pct_foreign_dod,0.03388607149995215
pct_foreign_ed,0.0
pct_foreign_hhs,0.002433752790536068
pct_foreign_doi,0.005806659597860675
pct_foreign_va,0.0014469185619200692
pct_foreign_doe,0.0001198481828629346
pct_foreign_dot,0.002078375579119742
pct_foreign_dol,0.0
pct_foreign_dhs,0.0016966400650460704
pct_total_to_USA,0.976072845887839
pct_total_to_AGO,0.0
pct_total_to_DNK,3.802296226950595e-05
pct_total_to_CHE,0.001831881699984364
pct_total_to_ETH,5.880502246031016e-06
pct_total_to_TUR,0.0008466456131987088
pct_total_to_RUS,3.5853461440243096e-05
pct_total_to_UKR,0.0
pct_total_to_FIN,5.35744292759117e-06
pct_total_to_FJI,0.0
pct_total_to_FRA,0.00047760450069922786
pct_total_to_ITA,0.00024357659601172824
pct_total_to_THA,4.011750427553995e-05
pct_total_to_BEL,6.187092779845951e-05
pct_total_to_MYS,0.0
pct_total_to_MLI,0.0
pct_total_to_CAN,0.0024168921547932567
pct_total_to_CRI,1.532105294793633e-07
pct_total_to_GTM,6.145517301876324e-07
pct_total_to_VUT,0.0
pct_total_to_NLD,5.130679853172001e-05
pct_total_to_PRY,0.0
pct_total_to_HRV,1.2882547300569822e-05
pct_total_to_MOZ,0.0
pct_total_to_AUT,4.6785173352141385e-06
pct_total_to_HTI,0.0
pct_total_to_BRA,7.03203115639521e-06
pct_total_to_IDN,-1.8769907718678813e-06
pct_total_to_PHL,3.082655136452801e-05
pct_total_to_ISR,9.448489551313152e-05
pct_total_to_PER,0.0
pct_total_to_HND,1.6949915265544822e-06
pct_total_to_KGZ,0.0
pct_total_to_ARE,0.00032032827284948415
pct_total_to_DZA,0.0
pct_total_to_MDG,0.0
pct_total_to_EGY,5.399527801987263e-08
pct_total_to_GBR,0.0019833638754868568
pct_total_to_IRQ,0.0002493875818384134
pct_total_to_KWT,0.005700374753461587
pct_total_to_JOR,6.432355425434619e-06
pct_total_to_BIH,0.0
pct_total_to_SAU,0.0005523177668953255
pct_total_to_HUN,4.0798020284681946e-07
pct_total_to_ZAF,9.07867857905612e-07
pct_total_to_KEN,0.0
pct_total_to_BHR,0.00019592561166370442
pct_total_to_GIB,-4.78657134785378e-08
pct_total_to_SEN,8.249357986519449e-07
pct_total_to_TZA,2.8055366488670007e-05
pct_total_to_JPN,0.0011624783435320552
pct_total_to_AFG,0.00013156422898644434
pct_total_to_COL,9.913488310404092e-05
pct_total_to_GUY,0.0
pct_total_to_ECU,2.7633634211599713e-06
pct_total_to_KOR,0.0012905256799815251
pct_total_to_SLV,4.0214476822122024e-07
pct_total_to_CHN,5.828288612097421e-07
pct_total_to_IND,0.0
pct_total_to_ABW,0.0
pct_total_to_UGA,0.0
pct_total_to_SDN,0.0
pct_total_to_KAZ,1.035800650904661e-06
pct_total_to_GHA,0.0
pct_total_to_LBR,0.0
pct_total_to_PAK,2.599208057401196e-05
pct_total_to_ARM,0.0
pct_total_to_MKD,0.0
pct_total_to_AZE,0.0
pct_total_to_GEO,0.0
pct_total_to_LKA,0.0
pct_total_to_ZWE,0.0
pct_total_to_AUS,6.955753493498507e-05
pct_total_to_JAM,0.0
pct_total_to_NAM,0.0
pct_total_to_MAR,0.0
pct_total_to_BGD,0.0
pct_total_to_NGA,0.0
pct_total_to_UZB,0.0
pct_total_to_PAN,8.360835797148091e-07
pct_total_to_MEX,0.0006652922391634724
pct_total_to_HKG,1.0504639847698883e-06
pct_total_to_MWI,0.0
pct_total_to_PRT,0.00018942689749937012
pct_total_to_GIN,3.960663691365585e-06
pct_total_to_COD,0.0
pct_total_to_SLE,0.0
pct_total_to_BOL,1.194413280750872e-06
pct_total_to_DOM,0.0
pct_total_to_NIC,0.0
pct_total_to_BEN,2.301845285157397e-06
pct_total_to_KHM,0.0
pct_total_to_BRB,0.0
pct_total_to_COG,0.0
pct_total_to_SGP,3.090998421640789e-05
pct_total_to_ZMB,0.0
pct_total_to_VEN,0.0
pct_total_to_NPL,5.834405599654993e-06
pct_total_to_SRB,2.2381314287750271e-07
pct_total_to_TJK,0.0
pct_total_to_BGR,2.2595351684157263e-07
pct_total_to_BLR,0.0
